job titles,company names,clocation names,job skills,links
Senior Python Developer (Django - PHP),Confidential -,"Giza, Egypt ",Full TimeHybridExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · Django · PHP · REST · Information Technology (IT) · Software Development · English,https://wuzzuf.net/jobs/p/iL54Am5UH2m6-Senior-Python-Developer-Django---PHP-Giza-Egypt
Python Developer,Confidential -,"Cairo, Egypt ",Full TimeHybridExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Information Technology (IT) · Python,https://wuzzuf.net/jobs/p/6s9yHPuY58Yu-Python-Developer-Cairo-Egypt
AI & Data Science Python Developer Intern,Sequel Solutions -,"Cairo, Egypt ",InternshipRemoteStudent · 0 - 1 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Algorithms · Information Technology (IT) · Python · Software · Software Development · Software Engineering · Programming,https://wuzzuf.net/internship/XwXoHCEDJryd-AI-Data-Science-Python-Developer-Intern-Sequel-Solutions-Cairo-Egypt
Python Developer,Elarkan for construction -,"Smouha, Alexandria, Egypt ",Part TimeFreelance / ProjectWork From HomeExperienced · 8 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · HTML5 · JavaScript · Software Development · Python · Engineering,https://wuzzuf.net/jobs/p/z086le0bsWaG-Python-Developer-Elarkan-for-construction-Alexandria-Egypt
Python Developer,Fekra Technology Solutions and Construction -,"Dokki, Giza, Egypt ",Full TimeWork From HomeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Development · Information Technology (IT) · Python · Remote · Software Development,https://wuzzuf.net/jobs/p/2bLeG0KBDf91-Python-Developer-Fekra-Technology-Solutions-and-Construction-Giza-Egypt
Python Developer,Afaqy -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Computer Science · Software Development · Python,https://wuzzuf.net/jobs/p/mzasDWYz0tei-Python-Developer-Afaqy-Cairo-Egypt
Python Django Developer,Element8 -,"Dubai, United Arab Emirates ",Full TimeEntry Level · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Python · Information Technology (IT) · Computer Science · Django · Software Development · javaScript · Software Engineering,https://wuzzuf.net/jobs/p/g/TRsgR9FPETEk-Python-Django-Developer-Element8-Dubai-United-Arab-Emirates
Remote Lead Python Engineer,Turing -,"Cairo, Egypt ",Full TimeExperienced · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · computer science · information technology (it) · python · computer engineering · engineering · sql · remote,https://wuzzuf.net/jobs/p/g/uhOXz41KlXJz-Remote-Lead-Python-Engineer-Turing-Cairo-Egypt
Remote Python Solutions Developer,Turing -,"Cairo, Egypt ",Full TimeEntry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · information technology (it) · computer science · python · software development · engineering · programming · english,https://wuzzuf.net/jobs/p/g/9KprmNLGES5G-Remote-Python-Solutions-Developer-Turing-Cairo-Egypt
Remote Python Software Developer,Turing -,"Cairo, Egypt ",Full TimeEntry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · information technology (it) · computer science · software development · python · engineering · programming · english,https://wuzzuf.net/jobs/p/g/JmQLbX6nQ7IB-Remote-Python-Software-Developer-Turing-Cairo-Egypt
Remote Python Engineer,Turing -,"Cairo, Egypt ",Full TimeEntry Level · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Engineering · Software Development · Python · Software Engineering · SQL,https://wuzzuf.net/jobs/p/g/A5RgJVevFxwp-Remote-Python-Engineer-Turing-Cairo-Egypt
Remote Python Programmer,Turing -,"Cairo, Egypt ",Full TimeEntry Level · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · information technology (it) · python · computer science · linux · engineering · developer · computer,https://wuzzuf.net/jobs/p/g/k4XUw4EcRWnM-Remote-Python-Programmer-Turing-Cairo-Egypt
Remote Python Analyst,Turing -,"Cairo, Egypt ",Full TimeEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · information technology (it) · computer science · python · linux · engineering · analysis · programming,https://wuzzuf.net/jobs/p/g/7TLZKX1uT8Mp-Remote-Python-Analyst-Turing-Cairo-Egypt
Remote Senior Python Developer,Turing -,"Cairo, Egypt ",Full TimeExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Python · Software Development · Django · Software Engineering · javaScript,https://wuzzuf.net/jobs/p/g/N1U6GY3f3cAW-Remote-Senior-Python-Developer-Turing-Cairo-Egypt
Remote Lead Python Developer,Turing -,"Cairo, Egypt ",Full TimeExperienced · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · information technology (it) · computer science · python · software development · engineering · sql · english,https://wuzzuf.net/jobs/p/g/OVoR9Cxp32TL-Remote-Lead-Python-Developer-Turing-Cairo-Egypt
